"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","143","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:29 GMT 2021","152","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","142","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Wed Aug 11 13:35:27 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","148","","ForumTest","","ForumTest","listElements","listElements()",""
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","141","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","199","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Wed Aug 11 13:35:20 GMT 2021","Wed Aug 11 13:35:27 GMT 2021","7013","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"broken","Wed Aug 11 13:35:27 GMT 2021","Wed Aug 11 13:35:27 GMT 2021","193","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"broken","Wed Aug 11 13:35:28 GMT 2021","Wed Aug 11 13:35:28 GMT 2021","160","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"broken","Wed Aug 11 13:35:29 GMT 2021","Wed Aug 11 13:35:29 GMT 2021","158","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
